Red ROI - X,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
2.0012,40.3168,,2.0012,30.8854,,2.0012,51.0113,,2.0012,45.1817,,2.0012,220.0249,,2.0012,81.2720,,2.0012,92.3766,,2.0012,18.8492,,2.0012,46.6998,,2.0012,13.2440,,2.0012,515.8556,,2.0012,13.2440,,2.0012,515.8556,,2.0012,11.4706,,2.0012,105.2281,,2.0012,14.4309,,2.0012,20.4716,,2.0012,45.0767,,2.0012,242.3225,,2.0012,24.1242,,2.0012,67.3800,,2.0012,19.6004,,2.0012,11.8529,,2.0012,20.8499,,2.0012,44.5010,,
2.1012,17.5345,,2.1012,23.0164,,2.1012,55.4915,,2.1012,28.8346,,2.1012,170.6464,,2.1012,7.7714,,2.1012,60.2512,,2.1012,14.6705,,2.1012,19.7351,,2.1012,16.5787,,2.1012,665.5106,,2.1012,16.5787,,2.1012,665.5106,,2.1012,22.7272,,2.1012,184.5813,,2.1012,28.5877,,2.1012,3.3975,,2.1012,32.2059,,2.1012,568.5481,,2.1012,11.8724,,2.1012,57.7381,,2.1012,39.0044,,2.1012,14.4890,,2.1012,28.1573,,2.1012,100.4286,,
2.2013,58.1414,,2.2013,13.4686,,2.2013,60.1696,,2.2013,29.6422,,2.2013,147.4944,,2.2013,101.9952,,2.2013,9.8725,,2.2013,25.0313,,2.2013,46.0310,,2.2013,25.8946,,2.2013,1194.4170,,2.2013,25.8946,,2.2013,1194.4170,,2.2013,17.4597,,2.2013,175.3930,,2.2013,19.3279,,2.2013,31.3972,,2.2013,15.7988,,2.2013,511.4648,,2.2013,20.9594,,2.2013,42.8903,,2.2013,30.0746,,2.2013,34.6067,,2.2013,27.2202,,2.2013,196.4312,,
2.3014,62.6112,,2.3014,29.6623,,2.3014,42.3567,,2.3014,50.2321,,2.3014,129.2358,,2.3014,130.4906,,2.3014,28.8857,,2.3014,28.3645,,2.3014,77.9238,,2.3014,15.4177,,2.3014,616.2018,,2.3014,15.4177,,2.3014,616.2018,,2.3014,55.9592,,2.3014,98.4926,,2.3014,34.6596,,2.3014,70.9536,,2.3014,29.6264,,2.3014,636.2393,,2.3014,24.7724,,2.3014,119.3412,,2.3014,40.5241,,2.3014,44.6217,,2.3014,22.5148,,2.3014,159.0611,,
2.4014,41.7225,,2.4014,38.1656,,2.4014,20.3098,,2.4014,30.5466,,2.4014,62.0622,,2.4014,45.2844,,2.4014,44.1142,,2.4014,35.1960,,2.4014,70.6550,,2.4014,35.6169,,2.4014,434.2788,,2.4014,35.6169,,2.4014,434.2788,,2.4014,60.7505,,2.4014,146.4888,,2.4014,42.5347,,2.4014,59.4390,,2.4014,33.0467,,2.4014,999.5898,,2.4014,9.1126,,2.4014,150.6478,,2.4014,40.6976,,2.4014,41.0618,,2.4014,22.0028,,2.4014,150.8805,,
2.5015,96.6331,,2.5015,38.4006,,2.5015,32.7981,,2.5015,33.1123,,2.5015,13.8667,,2.5015,18.9840,,2.5015,49.5902,,2.5015,27.3345,,2.5015,34.4424,,2.5015,48.1682,,2.5015,933.2382,,2.5015,48.1682,,2.5015,933.2382,,2.5015,68.9204,,2.5015,71.0534,,2.5015,36.1630,,2.5015,30.0550,,2.5015,26.6975,,2.5015,590.8624,,2.5015,49.0625,,2.5015,103.6370,,2.5015,24.3735,,2.5015,32.5028,,2.5015,5.8024,,2.5015,320.1830,,
2.6015,61.2238,,2.6015,33.9783,,2.6015,30.1951,,2.6015,39.1984,,2.6015,196.8648,,2.6015,65.8810,,2.6015,25.2458,,2.6015,14.3503,,2.6015,33.6801,,2.6015,31.5452,,2.6015,942.3484,,2.6015,31.5452,,2.6015,942.3484,,2.6015,77.4514,,2.6015,75.5129,,2.6015,29.3837,,2.6015,27.6194,,2.6015,3.0076,,2.6015,481.3553,,2.6015,75.0726,,2.6015,80.8333,,2.6015,23.2164,,2.6015,8.9245,,2.6015,13.8399,,2.6015,261.3904,,
2.7016,106.8090,,2.7016,21.8893,,2.7016,12.1725,,2.7016,23.4091,,2.7016,256.9571,,2.7016,40.4100,,2.7016,74.7504,,2.7016,24.3184,,2.7016,22.6708,,2.7016,12.5037,,2.7016,781.0391,,2.7016,12.5037,,2.7016,781.0391,,2.7016,30.1724,,2.7016,106.6876,,2.7016,21.4417,,2.7016,14.3031,,2.7016,29.1840,,2.7016,481.7018,,2.7016,50.0868,,2.7016,137.6467,,2.7016,10.1849,,2.7016,32.6288,,2.7016,18.6190,,2.7016,199.3316,,
2.8017,98.4296,,2.8017,18.4000,,2.8017,34.5772,,2.8017,36.4686,,2.8017,121.1833,,2.8017,101.8771,,2.8017,94.6932,,2.8017,14.9383,,2.8017,33.9149,,2.8017,7.3482,,2.8017,1179.3170,,2.8017,7.3482,,2.8017,1179.3170,,2.8017,113.4058,,2.8017,178.0379,,2.8017,16.6223,,2.8017,5.1195,,2.8017,30.4834,,2.8017,653.9372,,2.8017,46.8653,,2.8017,155.6592,,2.8017,11.1077,,2.8017,24.8439,,2.8017,1.0494,,2.8017,212.0365,,
2.9017,44.0189,,2.9017,9.0426,,2.9017,34.0721,,2.9017,9.9934,,2.9017,74.0555,,2.9017,102.8656,,2.9017,80.4498,,2.9017,10.6792,,2.9017,36.8999,,2.9017,12.7588,,2.9017,1134.5270,,2.9017,12.7588,,2.9017,1134.5270,,2.9017,89.9108,,2.9017,161.4895,,2.9017,6.7443,,2.9017,43.2473,,2.9017,25.7042,,2.9017,549.8322,,2.9017,36.2872,,2.9017,139.3651,,2.9017,7.1454,,2.9017,18.4246,,2.9017,17.7261,,2.9017,262.1296,,
