Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
121.1907,2.1907,44.6996,11.8294,50.1248,16.2592,44.0036,3.8425,3.4034,27.1868,163.1338,11.5564,42.5001,17.4231,15.2928,120.1666,4.4602,5.7276,16.4434,26.1232,18.3413
121.2908,9.8666,42.0028,5.6145,32.0973,32.6305,88.9262,0.8439,4.4678,21.654,122.1831,14.9734,60.5833,30.0878,13.3364,118.4813,18.4127,13.1895,22.1082,8.5697,20.5842
121.3909,23.2166,131.8848,6.4299,10.996,43.9812,124.694,5.2491,4.0658,25.264,144.9588,10.5125,64.9812,27.6462,7.8607,137.1962,14.696,17.2138,14.1821,29.8224,7.4679
121.4909,24.6077,132.5738,2.8238,21.3615,32.6949,97.5166,3.6401,1.4703,4.7673,46.6418,6.002,23.6356,23.5512,22.5974,49.514,17.5288,7.1834,17.8042,73.6802,47.4524
121.591,9.8038,58.6258,5.5547,43.0042,17.5995,36.5108,1.6607,3.735,20.0373,97.6119,21.023,102.5775,7.1253,32.1034,105.8148,3.7695,6.7314,15.2606,52.5011,54.638
121.6911,13.3269,52.1594,14.3713,71.1871,15.3581,17.1215,1.579,2.9299,13.9891,85.5655,17.6848,85.7891,11.6323,32.2058,108.3777,23.4919,11.94,7.3117,25.8609,47.4814
121.7912,13.7801,86.4457,8.5994,38.0624,21.6689,40.5295,3.0942,3.4288,5.9063,37.3613,12.2001,48.7184,7.556,37.4781,43.4163,20.7389,9.7574,8.3658,22.4181,15.0412
121.8912,22.2699,116.2092,7.66,8.1908,28.2433,69.4559,1.972,6.1043,3.831,42.3681,8.3636,62.7562,5.9778,31.4134,85.5233,16.8529,4.4877,10.8591,56.5708,3.7159
121.9913,11.6852,57.411,11.1159,28.7059,16.8243,41.9348,3.5161,4.8765,12.6873,74.8459,11.0989,85.8197,1.2433,4.483,109.1103,45.2281,11.803,9.6947,61.3862,11.2327
122.0914,15.8797,73.6119,6.4946,13.2827,6.4764,25.0087,4.7734,3.8288,23.5816,110.8781,11.5394,59.6768,16.623,14.5532,105.1517,27.744,9.8849,8.1187,46.9434,26.452
122.1915,10.6613,12.1859,3.0301,26.0627,13.5592,56.0463,3.6711,3.9935,12.17,72.6959,5.8865,32.4934,29.4543,14.1191,75.9481,23.5851,7.0826,5.0537,26.297,29.3802
122.2915,5.9,56.6074,5.5848,36.8712,17.2555,63.5204,4.1092,5.8307,20.5224,105.5854,13.2062,77.4155,3.9792,28.7299,116.8397,16.3403,3.1136,5.9204,19.7354,11.6642
122.3916,12.3392,64.3981,9.5767,36.8918,10.8935,47.5509,3.1723,6.0524,21.9119,98.767,22.3546,112.4798,27.7515,39.4045,58.8392,7.3297,16.6051,16.0274,22.8234,12.9159
122.4917,27.7384,127.9895,4.387,23.3018,5.8526,40.3542,3.2516,3.5779,11.5307,38.4348,12.8745,71.526,25.4418,18.1929,220.9531,14.9367,24.6768,19.0008,22.3716,24.9132
122.5918,16.0362,54.692,3.0313,20.6914,5.2729,34.5149,1.2047,2.3687,44.1143,171.4974,2.2943,33.1299,26.7763,17.3872,156.2163,16.5624,16.2044,13.7724,26.7503,43.1149
122.6918,3.4026,53.3346,5.2656,40.4343,10.9716,28.4811,6.4898,0.2656,42.9911,194.1546,10.5597,54.1584,25.2128,9.948,37.6172,23.1171,6.9916,11.6954,16.3598,42.3436
122.7919,5.1536,78.1614,7.75,56.7747,25.9783,49.8607,2.0707,1.6204,20.6291,118.7939,18.8572,97.2691,9.3759,11.2439,245.2519,21.6444,4.8667,8.631,60.1056,37.8936
122.892,6.4298,87.0633,7.9293,43.6189,33.417,81.0861,5.2762,1.1329,14.4858,85.8708,6.518,47.8288,28.5913,14.3024,261.5855,6.7679,12.6101,11.7768,39.8111,65.5635
122.9921,5.5373,50.8502,12.2143,63.3576,15.5906,49.1086,5.2804,0.641,31.3379,165.7244,17.9295,70.6088,27.13,5.8805,132.6729,10.3304,10.8723,9.8474,16.8717,73.3013
123.0921,11.238,20.7088,16.0044,56.732,16.7037,47.7067,3.268,1.2459,57.1942,242.9362,18.7287,71.1334,8.6414,15.162,122.2383,28.4501,6.9022,19.5631,35.0628,60.2126
123.1922,3.4441,42.4691,2.4576,24.1046,20.4406,57.7589,3.938,2.2267,32.7713,122.4192,5.7653,43.4114,8.0374,8.2575,144.5952,41.7822,10.6829,22.8745,14.9697,15.9513
123.2923,7.2767,20.8079,6.1411,24.2473,8.5286,24.8066,6.9877,0.6477,16.1113,80.4019,6.3553,58.5089,14.3753,15.2789,131.0195,17.3422,12.6355,12.1295,43.8369,10.2804
123.3924,18.8062,79.3544,2.3445,26.0731,20.7479,49.1899,1.1346,1.7035,16.7093,78.5356,6.8639,50.29,25.0971,17.7748,134.3875,23.762,9.6793,7.8846,36.4286,13.6047
123.4924,18.5526,102.0097,2.4835,6.4657,5.8938,13.1127,5.9801,1.57,7.6761,53.7787,13.7187,69.9714,29.326,12.1085,75.4572,19.1425,14.1688,9.5994,16.9601,24.3463
123.5925,4.8205,53.5779,4.0566,31.9451,34.0015,64.3119,4.4399,1.6879,28.2107,134.1117,21.5526,100.3315,27.3085,17.9312,88.6466,9.1413,8.0005,15.8182,58.6915,44.4652
123.6926,10.2626,57.5176,7.271,38.0923,35.4417,75.5119,4.3148,2.8207,31.8961,138.8517,16.0113,79.8054,17.9773,33.475,94.738,36.5796,8.1876,20.0525,49.2365,29.1723
123.7927,7.8759,59.9335,8.1252,29.1562,37.8879,84.0309,5.3971,2.248,23.2014,99.7802,9.1755,59.7283,4.516,17.6002,42.0041,33.7451,15.8858,9.4167,50.1135,27.0422
123.8927,12.6736,74.4278,2.6627,19.6487,39.236,100.5897,5.2139,1.3461,5.8126,19.6704,12.1185,67.5226,12.2073,17.7294,15.1034,15.2571,15.8165,32.2489,48.0916,14.3161
123.9928,19.7597,85.7792,7.9217,43.0541,25.3618,75.214,5.8406,2.2303,19.2528,73.7771,9.1767,36.425,27.3562,26.1896,39.6972,17.7546,15.672,19.1125,44.8737,29.5803
124.0929,22.2538,53.0186,12.8585,60.2729,13.7601,37.8737,7.2278,1.6668,20.9722,68.2971,9.7684,23.7403,23.973,26.6819,149.1704,29.3943,13.9512,2.4652,19.495,51.4452
124.193,13.0505,34.0755,4.7236,25.4352,24.5848,68.8671,7.5854,0.9706,16.51,56.3879,13.3197,50.4942,4.6674,26.4435,173.965,43.1991,0.4971,19.0518,37.3059,41.9765
124.293,10.1727,23.1367,6.3358,15.7193,23.1241,58.5713,7.7675,1.3202,19.4761,106.2417,11.563,60.2013,18.2424,16.8795,173.8274,16.0597,6.3834,35.0713,30.0723,17.8743
124.3931,6.6203,53.4151,1.5894,17.4295,17.5965,49.165,4.6763,0.5115,12.298,47.5878,9.6927,70.5807,16.1121,53.8347,183.9025,17.2476,5.3662,35.2837,69.0518,11.7402
124.4932,8.5554,30.158,7.1263,30.3574,21.7367,57.5989,2.9334,1.2584,7.5294,45.1182,5.3179,42.5972,18.6355,46.2109,133.6344,24.2998,11.5306,17.8306,80.7636,29.1377
124.5933,8.3835,24.8141,11.3002,36.3235,11.6537,31.7823,4.1175,1.7865,10.9755,51.0714,10.8531,34.073,17.8018,14.1908,125.9979,39.263,18.4107,8.5064,68.8936,36.2253
124.6933,9.4437,57.5864,14.5239,49.5472,23.2829,65.8249,4.1048,4.0003,22.583,93.6085,8.5011,39.1191,4.5773,17.8555,140.7205,25.5384,20.8483,7.2639,37.5038,51.4017
124.7934,5.9491,34.0386,17.4942,62.289,29.598,82.4721,7.4955,1.7245,18.8981,80.6938,4.8169,20.8869,11.4726,16.2354,109.351,18.3079,23.6151,10.211,8.3498,57.4184
124.8935,8.1195,56.5034,13.2329,41.7874,22.2595,74.8868,9.2698,2.8899,6.252,39.7259,1.8935,4.7451,12.107,6.6442,131.015,29.9004,16.6676,14.6013,17.3014,43.4219
124.9936,10.5906,24.9244,5.3838,23.2498,16.2148,59.8637,5.1159,4.3778,16.2182,88.4195,6.772,39.7109,16.2975,20.7095,115.6712,23.4076,9.3389,17.7337,16.0935,22.4142
125.0936,3.9567,30.6635,3.6123,17.2301,10.5989,31.9875,2.6828,4.592,14.5443,72.0542,14.6583,89.3196,33.0512,18.6244,140.278,21.1073,4.3675,26.6289,20.6865,41.1053
125.1937,12.0295,64.9521,5.2287,9.3284,4.8475,24.6827,7.0543,4.4196,6.5124,24.9522,13.7819,85.6398,36.2407,13.3696,245.0722,18.5636,8.5277,10.2126,6.3365,74.7143
125.2938,6.6657,21.7256,7.1713,18.4547,7.3513,23.5922,9.3184,3.7958,17.8921,103.6887,12.2314,59.4622,15.4782,24.4408,178.3534,12.7175,7.3857,12.5025,17.8429,38.5989
125.3939,7.3706,47.8702,11.0669,28.6055,7.8446,17.7524,8.3555,2.9077,34.3866,165.3318,10.1208,44.7839,9.3124,35.1837,67.51,21.9838,1.7652,10.6494,23.468,64.0578
125.4939,13.4953,83.3649,13.2976,30.5205,1.4508,10.0878,3.4382,2.3819,43.7062,196.1425,3.1689,12.1293,8.3779,26.0961,96.2666,10.8405,4.5955,16.5731,62.8907,81.7425
125.594,10.2769,52.9731,5.6253,30.0288,18.2465,42.4851,3.4076,2.6523,24.2994,111.8238,17.2084,60.0956,16.7427,37.7725,110.49,7.4758,2.4352,20.0228,92.2964,62.1435
125.6941,12.9594,41.9523,2.7792,14.8953,24.3187,65.5603,2.0445,2.6172,19.3862,115.0534,16.0307,51.9942,23.4003,44.6624,82.3153,24.3002,6.7565,3.9981,45.0545,21.518
125.7942,16.3893,56.7348,3.8219,2.2273,12.3666,43.1517,9.5126,2.3077,21.98,100.644,18.6064,69.487,9.6402,20.8414,107.5299,29.3703,12.0717,17.0018,16.5452,25.7641
125.8942,6.3951,34.5672,3.4808,16.8172,23.4834,67.7735,9.4834,1.521,25.1645,88.7281,23.1837,108.5382,12.0384,12.1014,115.2751,18.1496,14.1862,4.117,21.6447,16.1571
125.9943,14.0905,83.2224,7.2516,21.229,43.532,126.8417,5.0124,4.5715,28.6585,110.3501,23.2255,112.5913,19.882,12.3802,153.0353,12.9233,12.6128,24.9482,12.8694,28.3414
126.0944,19.7058,109.7481,4.0911,29.1777,15.5115,51.8422,3.0344,3.8145,14.3416,66.7671,4.5488,11.5862,20.9527,9.8333,50.1047,25.4898,18.2558,22.2066,18.0025,30.3342
126.1945,10.6805,52.7423,5.1742,24.5888,18.3405,41.0485,2.9053,2.5816,7.7166,29.1893,6.7836,29.8735,20.6546,16.8892,27.47,33.1032,16.6371,5.3581,28.4496,18.2786
126.2945,1.2369,8.0995,4.1008,14.0833,25.9712,58.916,4.2825,1.2598,13.9402,63.4453,14.1122,28.0594,14.6935,11.2293,138.5117,9.5183,13.1922,9.9979,28.3341,1.9574
