Red ROI - X,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Yellow ROI - X,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
2.0012,28.8812,,2.0012,19.3839,,2.0012,45.2968,,2.0012,36.9827,,2.0012,317.1444,,2.0012,111.0957,,2.0012,33.4095,,2.0012,15.2498,,2.0012,1106.7860,,2.0012,25.8049,,2.0012,1107.7450,,2.0012,21.9248,,2.0012,48.8709,,2.0012,12.8464,,2.0012,60.7848,,2.0012,28.1998,,2.0012,138.9367,,2.0012,11.3334,,2.0012,122.8417,,2.0012,37.0722,,2.0012,48.0780,,2.0012,36.0142,,2.0012,184.3701,,
2.1012,102.6185,,2.1012,8.6447,,2.1012,43.8142,,2.1012,41.2504,,2.1012,350.5670,,2.1012,54.0577,,2.1012,32.5191,,2.1012,32.3434,,2.1012,1333.6150,,2.1012,41.4334,,2.1012,1344.1880,,2.1012,79.0055,,2.1012,75.0294,,2.1012,10.3981,,2.1012,84.1408,,2.1012,42.8866,,2.1012,209.0547,,2.1012,44.8557,,2.1012,70.2660,,2.1012,27.6091,,2.1012,83.6000,,2.1012,53.8910,,2.1012,327.0691,,
2.2013,98.9390,,2.2013,9.0814,,2.2013,12.4554,,2.2013,33.8048,,2.2013,218.5904,,2.2013,104.6621,,2.2013,41.2692,,2.2013,26.3317,,2.2013,668.7109,,2.2013,20.7535,,2.2013,674.2506,,2.2013,89.1563,,2.2013,155.7061,,2.2013,16.3599,,2.2013,30.7684,,2.2013,22.7803,,2.2013,300.2279,,2.2013,29.9838,,2.2013,38.4214,,2.2013,14.9233,,2.2013,53.1080,,2.2013,53.3826,,2.2013,85.7887,,
2.3014,117.9598,,2.3014,10.6237,,2.3014,47.6172,,2.3014,30.8669,,2.3014,320.6885,,2.3014,132.0421,,2.3014,28.3043,,2.3014,9.4549,,2.3014,909.1182,,2.3014,20.1458,,2.3014,906.9772,,2.3014,21.6258,,2.3014,68.9617,,2.3014,25.9144,,2.3014,27.5193,,2.3014,8.6618,,2.3014,160.1709,,2.3014,8.2838,,2.3014,63.8325,,2.3014,19.9272,,2.3014,28.1701,,2.3014,21.1688,,2.3014,117.9224,,
2.4014,112.6549,,2.4014,7.7025,,2.4014,49.4015,,2.4014,34.0799,,2.4014,418.3827,,2.4014,89.3040,,2.4014,22.1142,,2.4014,22.7419,,2.4014,245.4032,,2.4014,30.6985,,2.4014,248.6620,,2.4014,80.3417,,2.4014,65.4392,,2.4014,13.0163,,2.4014,86.8701,,2.4014,20.5345,,2.4014,321.1977,,2.4014,30.0064,,2.4014,62.0783,,2.4014,13.9083,,2.4014,56.2787,,2.4014,19.1299,,2.4014,357.5250,,
2.5015,92.1245,,2.5015,11.7994,,2.5015,13.4112,,2.5015,20.5726,,2.5015,563.2517,,2.5015,96.6263,,2.5015,26.2712,,2.5015,20.8073,,2.5015,1118.0130,,2.5015,29.1414,,2.5015,1126.0270,,2.5015,114.8348,,2.5015,114.0459,,2.5015,24.2411,,2.5015,78.2165,,2.5015,26.0300,,2.5015,207.3792,,2.5015,48.2081,,2.5015,15.6959,,2.5015,6.5602,,2.5015,44.6546,,2.5015,22.4445,,2.5015,282.3039,,
2.6015,120.4354,,2.6015,17.3139,,2.6015,32.7095,,2.6015,34.0908,,2.6015,288.2541,,2.6015,96.9099,,2.6015,20.0028,,2.6015,19.5306,,2.6015,2132.5080,,2.6015,12.3748,,2.6015,2135.0390,,2.6015,68.6962,,2.6015,118.7005,,2.6015,15.2459,,2.6015,41.5735,,2.6015,27.9791,,2.6015,374.8032,,2.6015,15.3402,,2.6015,48.3798,,2.6015,11.4633,,2.6015,42.4155,,2.6015,30.4505,,2.6015,141.5991,,
2.7016,93.5389,,2.7016,21.6940,,2.7016,21.7262,,2.7016,22.1066,,2.7016,158.8164,,2.7016,28.9455,,2.7016,13.9120,,2.7016,20.3972,,2.7016,2342.0960,,2.7016,22.0500,,2.7016,2339.9800,,2.7016,46.2870,,2.7016,45.2041,,2.7016,6.1417,,2.7016,28.3294,,2.7016,10.2654,,2.7016,382.7056,,2.7016,42.0146,,2.7016,31.8806,,2.7016,17.0684,,2.7016,62.3798,,2.7016,12.7846,,2.7016,67.7886,,
2.8017,142.9931,,2.8017,17.5025,,2.8017,23.1350,,2.8017,22.0026,,2.8017,259.5501,,2.8017,26.7684,,2.8017,8.8680,,2.8017,25.3851,,2.8017,1170.0450,,2.8017,23.3138,,2.8017,1173.4640,,2.8017,45.1473,,2.8017,86.2165,,2.8017,11.4999,,2.8017,25.3084,,2.8017,20.7480,,2.8017,365.5887,,2.8017,17.8768,,2.8017,43.2264,,2.8017,10.6133,,2.8017,34.2537,,2.8017,28.0881,,2.8017,269.6220,,
2.9017,97.6813,,2.9017,14.4188,,2.9017,37.8189,,2.9017,39.2902,,2.9017,358.7479,,2.9017,12.7622,,2.9017,14.6720,,2.9017,2.4583,,2.9017,133.4456,,2.9017,5.8824,,2.9017,124.1585,,2.9017,34.4838,,2.9017,91.1818,,2.9017,20.2403,,2.9017,15.2416,,2.9017,43.2200,,2.9017,373.1223,,2.9017,48.5389,,2.9017,43.3136,,2.9017,13.4350,,2.9017,14.5582,,2.9017,52.5125,,2.9017,135.6967,,
